Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
CSTB4,147.69,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,40.85,28.98,2.60,22.40,20.11,0.00,8420670000.00,0.14,31.91
MNSA3,0.42,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,-208.15,-362.66,3.63,-13.50,145.70,0.00,-9105000.00,-6.52,-41.11
CFLU4,1000.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,8.88,10.72,1.10,17.68,32.15,0.00,60351000.00,0.06,8.14
PMET3,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,-290863000.00,0.00,37.74
POPR4,10.17,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,8.66,5.65,1.08,15.25,19.93,0.00,545803000.00,0.82,30.93
CLAN3,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.05,0.00,1012240000.00,0.00,-63.96
MNSA4,0.47,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,-208.15,-362.66,3.63,-13.50,145.70,0.00,-9105000.00,-6.52,-41.11
IVTT3,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.40,0.00,1083050000.00,0.00,20.67
CSTB3,150.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,40.85,28.98,2.60,22.40,20.11,0.00,8420670000.00,0.14,31.91
PORP4,2.40,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.08,0.00,22399000.00,0.00,13.66
BBTG12,3.15,-88662.00,29554.00,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.33,0.00,9000.00,0.00,0.00
GNDI3,66.95,-3584.82,5.84,3.423,2.39,2.378,79.65,87.05,-6.21,91.13,50.88,3.93,-0.09,1.17,3.09,-0.16,0.00,7116080000.00,0.53,25.23
TXRX3,9.00,-1742.32,-0.11,0.180,0.00,0.158,-0.20,1.31,-0.09,11.65,9.97,13.75,-0.01,0.40,16.88,0.01,20.93,-333576000.00,-0.91,26.02
GUAR4,151.00,-1730.91,14.83,8.816,0.00,5.097,19.73,268.48,750.98,274.60,86.73,3.28,-0.51,1.64,2.52,-0.86,0.00,5083810000.00,0.84,3.03
BAUH4,76.75,-686.28,4.24,1.993,1.58,2.497,32.67,42.86,64.86,41.17,26.37,4.65,-0.29,1.20,9.42,-0.62,34568.60,94427000.00,0.11,2.52
TXRX4,3.45,-667.89,-0.04,0.069,0.00,0.061,-0.08,0.50,-0.03,10.85,9.28,13.75,-0.01,0.40,16.88,0.01,15163.40,-333576000.00,-0.91,26.02
PLDN4,486.00,-553.07,1.08,0.919,0.00,0.611,1.07,-75.56,3.10,-33.12,-33.12,-1.22,-0.17,10.81,-1.27,-0.20,0.00,289939000.00,0.01,10.26
LCSA4,35.09,-337.52,-228.00,79.738,0.00,125.308,-202.27,-505.80,-96.61,-506.56,-506.56,-15.77,-23.63,0.29,-28.74,67.55,0.00,-377568000.00,-0.35,6354.07
BHGR3,19.10,-272.16,1.10,3.613,0.00,0.855,-194.45,23.70,-8.56,25.95,14.20,15.24,-1.31,0.96,3.93,-0.40,0.00,1077600000.00,0.20,20.67
DMMO3,1.76,-258.65,-1.72,2.854,0.00,3.346,11.90,6.37,-1.37,5.90,5.42,44.81,-1.10,2.25,70.39,0.66,0.00,-553275000.00,0.00,-17.37
RJCP3,0.01,-224.70,0.65,0.000,0.00,0.619,0.00,-522.94,0.00,-523.96,-917.32,0.00,0.00,0.00,0.00,-0.29,0.00,17287200.00,0.00,0.00
ABYA3,4.91,-214.80,1.76,2.055,0.00,0.527,1.98,19.96,-2.75,33.67,33.67,10.29,-0.96,2.09,2.78,-0.82,0.00,292060000.00,1.31,16.41
PITI4,1.28,-204.74,0.00,0.000,0.00,0.000,0.00,-2637.65,0.00,-2637.65,111.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.63
MAPT3,30.05,-147.68,-4.48,0.000,0.00,35.726,-587.57,-164.38,-3.98,-164.38,-164.38,0.00,0.00,0.00,-23.14,3.03,209.65,-6171000.00,0.00,0.00
CSAN3,17.86,-140.46,1.71,0.807,2.40,0.254,4.81,5.41,-0.55,12.63,8.46,14.92,4.40,1.41,5.30,-1.22,171937000.00,19604900000.00,2.86,39.23
LCSA3,12.50,-120.23,-81.22,28.405,0.00,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-15.77,-23.63,0.29,-28.74,67.55,0.00,-377568000.00,-0.35,6354.07
MAGG3,59.40,-119.98,1.32,0.684,0.00,0.440,9.32,4.07,-1.55,6.41,5.34,16.82,-0.57,1.14,14.05,-1.10,0.00,2246130000.00,1.03,9.27
HBSA3,3.18,-113.35,1.77,1.351,0.00,0.391,4.51,9.27,-0.65,24.06,10.18,14.58,-1.19,1.93,4.76,-1.56,17923700.00,1366520000.00,3.22,20.90
LINX3,37.40,-90.95,4.38,7.885,1.52,2.745,11.96,53.17,47.06,51.49,22.97,14.83,-8.67,2.14,6.82,-4.81,0.00,1619010000.00,0.22,15.54
BNCA3,70.30,-90.30,2.45,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.72,0.00,3068150000.00,0.00,2.41
GUAR3,7.72,-88.49,0.76,0.451,0.26,0.261,1.01,13.73,38.39,19.85,6.27,3.28,-0.51,1.64,2.52,-0.86,15668200.00,5083810000.00,0.84,3.03
CLSA3,6.70,-82.66,1.73,2.381,0.00,1.400,2.60,-22.18,2.75,-14.86,-39.31,-10.74,-2.88,4.39,-14.24,-2.09,2750490.00,729915000.00,0.07,13.74
GLOB4,30.49,-74.18,9.62,1.580,0.00,1.423,-13.28,23.03,-3.45,26.90,17.53,6.86,-2.13,0.80,8.47,-12.97,0.00,5064000000.00,1.82,4.86
AMIL3,32.20,-73.28,7.70,1.129,0.00,2.003,-16.95,136.58,-5.43,138.61,50.13,0.83,-1.53,0.75,2.22,-10.51,0.00,1532980000.00,1.24,28.47
BRTP3,35.71,-67.26,2.45,1.168,0.00,0.684,8.98,6.03,-2.40,7.55,7.55,19.37,-2.96,1.29,13.41,-3.64,0.00,5302340000.00,0.91,3.66
IDVL11,140.00,-66.00,60.56,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-91.76,0.00,237683000.00,0.00,0.00
